unit_no,subject,url,abbr
1,internet of things,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211408&authkey=AOGSM98iAN-qpLM&em=2,iot
2,internet of things,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211407&authkey=AGGYFNtj4Vnn2oU&em=2,iot
3,internet of things,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211402&authkey=AL8pvkKM6B5TBrs&em=2,iot
4,internet of things,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211399&authkey=ADKsuRiZ90HG9UQ&em=2,iot
5,internet of things,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211400&authkey=ACi8EiZ9OfOYz0I&em=2,iot
1,computer networks,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211134&authkey=AH62qGudkhyBhnE&em=2,cn
2,computer networks,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211137&authkey=AMVEWtkkx3mqrNI&em=2,cn
3,computer networks,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211133&authkey=ADIEEeIRo3M-Ssw&em=2,cn
4,computer networks,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211136&authkey=AG7Ctr6lpddaFWY&em=2,cn
1,software engineering project management,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211779&authkey=AKzVWoSDb__mKpE&em=2,sepm
2,software engineering project management,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211777&authkey=AMudTRM-CMXEOUA&em=2,sepm
3,software engineering project management,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211775&authkey=APiEUnkmgP7AtQc&em=2,sepm
4,software engineering project management,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211776&authkey=AIOrB72Q1HxFeFc&em=2,sepm
1,artificial intelligence & machine learning,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211125&authkey=AM4o-DiBK5TS2mA&em=2,aiml
2,artificial intelligence & machine learning,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211128&authkey=ACn4_H-vyqA2VWs&em=2,aiml
3,artificial intelligence & machine learning,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211129&authkey=ALmTpdUCT02qWSs&em=2,aiml
4,artificial intelligence & machine learning,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211127&authkey=AHhYEU0TLztfE-E&em=2,aiml
5,artificial intelligence & machine learning,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211126&authkey=APgbDy31qtNPfPc&em=2,aiml
